,name,twitter_handle
0,Jill Mortimer,Unknown field
1,Jeremy Corbyn,jeremycorbyn
2,Claudia Webbe,Unknown field
3,Chi Onwurah,ChiOnwurah
4,Bridget Phillipson,bphillipsonMP
5,Ian Levy,Unknown field
6,Imran Hussain,Imran_HussainMP
7,Naseem Shah,nazshahbfd
8,Nick Brown,Unknown field
9,Julie Elliott,JulieElliottMP
10,Andy McDonald,AndyMcDonaldMP
11,Justin Tomlinson,JustinTomlinson
12,Sharon Hodgson,SharonHodgsonMP
13,Derek Twigg,DerekTwiggMP
14,Catherine McKinnell,catmckinnell
15,Emma Lewell-Buck,EmmaLewellBuck
16,Marcus Jones,Marcus4Nuneaton
17,Charles Walker,Unknown field
18,Mark Jenkinson,Unknown field
19,Ian Lavery,IanLaveryMP
20,Philip Hollobone,Unknown field
21,Peter Gibson,Unknown field
22,Kate Osborne,Unknown field
23,Mark Menzies,Unknown field
24,Yvonne Fovargue,Y_FovargueMP
25,Lindsay Hoyle,LindsayHoyle_MP
26,George Howarth,Unknown field
27,Wayne David,WayneDavid_MP
28,Paul Bristow,Unknown field
29,Dave Doogan,Unknown field
30,Stella Creasy,stellacreasy
31,Stephanie Peacock,Steph_Peacock
32,Steven Baker,stevebakerhw
33,Alun Cairns,AlunCairns
34,Jackie Doyle-Price,JACKIEDP
35,Mike Penning,Unknown field
36,Mick Whitley,Unknown field
37,John Cryer,JohnCryerMP
38,Robert Halfon,halfon4harlowMP
39,Suella Braverman,suellabraverman
40,Geraint Davies,GeraintDaviesMP
41,Julian Knight,julianknight15
42,Alan Campbell,alancampbellmp
43,Eleanor Laing,eleanor4epping
44,Chris Evans,VoteChrisEvans
45,John Stevenson,JohnStevensonMP
46,Mark Pawsey,MarkPawsey
47,Simon Baynes,Unknown field
48,Conor McGinn,conormcginn
49,Alex Cunningham,ACunninghamMP
50,Scott Benton,Unknown field
51,Peter Dowd,peter_dowd
52,Damien Moore,damienmooremp
53,Chris Elmore,cpjelmore
54,Martin Docherty,martinjdocherty
55,Nadhim Zahawi,nadhimzahawi
56,James Murray,Unknown field
57,Carolyn Harris,carolynharris24
58,Dan Jarvis,DanJarvisMP
59,Mhairi Black,MhairiBlack
60,Ellie Reeves,elliereeves
61,James Duddridge,JamesDuddridge
62,Liz Kendall,leicesterliz
63,Rupa Huq,rupahuq
64,Damian Collins,DamianCollins
65,Ranil Jayawardena,teamranil
66,Angela Crawley,AngelaCrawley30
67,Órfhlaith Begley,OrfhlaithBegley
68,Amanda Milling,amandamilling
69,Cherilyn Mackrory,Unknown field
70,Robert Buckland,RobertBuckland
71,Iain Duncan Smith,Unknown field
72,Tim Farron,timfarron
73,Marsha de Cordova,Marshadecordova
74,Kim Johnson,Unknown field
75,Rosie Duffield,RosieDuffield1
76,Oliver Dowden,Unknown field
77,Will Quince,willquince
78,Chris Bryant,RhonddaBryant
79,Ian Mearns,IanMearnsMP
80,Liz Twist,Unknown field
81,Chris Green,CGreenUK
82,Paul Maynard,PaulMaynardMP
83,Trudy Harrison,Unknown field
84,Clive Lewis,labourlewis
85,Anne Marie Morris,AMMorrisMP
86,Alex Norris,AlexNorrisNN
87,Holly Mumby-Croft,Unknown field
88,Luke Evans,Unknown field
89,Liz Saville-Roberts,lsrplaid
90,Jacob Young,Unknown field
91,Jane Stevenson,Unknown field
92,Stephen McPartland,SMcPartlandMP
93,Mark Hendrick,MpHendrick
94,Paul Holmes,Unknown field
95,Rachel Hopkins,Unknown field
96,Lisa Cameron,DrLisaCameronMP
97,David Davis,DavidDavisMP
98,Alison McGovern,Alison_McGovern
99,Stephen Kinnock,skinnock
100,Bill Esterson,Bill_Esterson
101,Sarah Atherton,Unknown field
102,Kemi Badenoch,KemiBadenoch
103,Tom Hunt,Unknown field
104,James Grundy,Unknown field
105,Fleur Anderson,Unknown field
106,Ronnie Cowan,ronniecowan
107,Shaun Bailey,Unknown field
108,John Nicolson,MrJohnNicolson
109,Dehenna Davison,Unknown field
110,John Baron,Unknown field
111,Michael Fabricant,Mike_Fabricant
112,Pete Wishart,PeteWishart
113,Kevin Foster,kevin_j_foster
114,Matthew Hancock,matthancock
115,Nusrat Ghani,nus_ghani
116,Robert Goodwill,transportgovuk
117,Ian Byrne,Unknown field
118,Jessica Morden,jessicamordenmp
119,Bernard Jenkin,bernardjenkin
120,John Redwood,johnredwood
121,Gerald Jones,geraldjoneslab
122,Yasmin Qureshi,YasminQureshiMP
123,Gavin Newlands,GavNewlandsSNP
124,Lucy Allan,lucyallan
125,Nigel Evans,ElectNigel
126,John Hayes,Unknown field
127,Nickie Aiken,Unknown field
128,Margaret Greenwood,mgreenwoodww
129,Steve McCabe,steve_mccabe
130,Julia Lopez,JuliaLopezMP
131,Peter Bone,PeterBoneMP
132,Stuart Anderson,Unknown field
133,Kate Osamor,kateosamor
134,Nia Griffith,NiaGriffithMP
135,Paula Barker,Unknown field
136,Munira Wilson,Unknown field
137,Paul Maskey,PaulMaskeyMP
138,David Jones,DavidJonesMP
139,Lisa Nandy,lisanandy
140,Francie Molloy,FrancieMolloy
141,John Finucane,Unknown field
142,Nigel Huddleston,huddlestonnigel
143,Jim Shannon,JimShannonMP
144,Wera Hobhouse,Wera_Hobhouse
145,Patricia Gibson,PGibsonSNP
146,Angela Eagle,angelaeagle
147,Ruth Jones,RuthNewportWest
148,Sarah Owen,Unknown field
149,Siobhain McDonagh,Siobhain_Mc
150,Caroline Ansell,Caroline_Ansell
151,Vicky Ford,vickyford
152,Alex Davies-Jones,Unknown field
153,Richard Graham,RichardGrahamUK
154,Simon Clarke,SimonClarkeMP
155,Nick Thomas-Symonds,NickTorfaen
156,Chris Clarkson,Unknown field
157,Mark Harper,Mark_J_Harper
158,Beth Winter,Unknown field
159,Andrew Rosindell,AndrewRosindell
160,Stephen Metcalfe,Metcalfe_SBET
161,Gregory Campbell,Unknown field
162,John Spellar,spellar
163,Kirsten Oswald,kirstenoswald
164,Angela Richardson,Unknown field
165,Damian Green,damiangreenmp
166,Dean Russell,Unknown field
167,Jamie Wallis,Unknown field
168,Katherine Fletcher,Unknown field
169,Rosena Allin-Khan,DrRosena
170,Andrew Stephenson,Andrew4Pendle
171,George Eustice,Unknown field
172,Christina Rees,rees4neath
173,Emily Thornberry,EmilyThornberry
174,Janet Daby,JanetDaby
175,Alan Mak,AlanMakMP
176,Natalie Elphicke,Unknown field
177,Vicky Foxcroft,vickyfoxcroft
178,Virendra Sharma,VirendraSharma
179,Owen Thompson,OwenThompson
180,Robin Millar,Unknown field
181,Gill Furniss,gillfurnissmp
182,Mary Foy,Unknown field
183,Pat McFadden,patmcfaddenmp
184,Mark Garnier,Mark4WyreForest
185,Nicola Richards,Unknown field
186,Gillian Keegan,GillianKeegan
187,Laura Farris,Unknown field
188,Nigel Mills,NigelMillsMP
189,Sajid Javid,sajidjavid
190,Karl Turner,KarlTurnerMP
191,Caroline Dinenage,cj_dinenage
192,Hilary Benn,hilarybennmp
193,Navendu Mishra,Unknown field
194,Chris Law,chrislawsnp
195,Maggie Throup,maggie_erewash
196,Robin Walker,walkerworcester
197,Tom Randall,Unknown field
198,John Martin McDonnell,johnmcdonnellMP
199,Karen Buck,KarenPBuckMP
200,Mary Glindon,GlindonMary
201,Siobhan Baillie,Unknown field
202,Edward Davey,EdwardJDavey
203,Valerie Vaz,Valerie_VazMP
204,Dominic Raab,DominicRaab
205,James Cleverly,jamescleverly
206,Sarah Olney,Unknown field
207,Clive Efford,CliveEfford
208,Crispin Blunt,crispinbluntmp
209,Kate Kniveton,Unknown field
210,Robert Courts,robertcourts
211,Robert Largan,Unknown field
212,Antony Higginbotham,Unknown field
213,Douglas Ross,Douglas4Moray
214,Eddie Hughes,EddieHughes4WN
215,Virginia Crosbie,Unknown field
216,Craig Tracey,craig4nwarks
217,Duncan Baker,Unknown field
218,Nadia Whittome,Unknown field
219,Andrew Selous,AndrewSelous
220,Esther McVey,EstherMcVey1
221,Giles Watling,GilesWatling
222,Jonathan Djanogly,JDjanogly
223,Anneliese Dodds,AnnelieseDodds
224,Abena Oppong-Asare,Unknown field
225,Saqib Bhatti,Unknown field
226,Paul Girvan,PaulGirvanMP
227,Grahame Morris,grahamemorris
228,Tonia Antoniazzi,ToniaAntoniazzi
229,Hywel Williams,hywelplaidcymru
230,Alyn Smith,Unknown field
231,Stephen Farry,Unknown field
232,Anthony Browne,Unknown field
233,Laura Trott,Unknown field
234,Darren Jones,darrenpjones
235,Mark Pritchard,MPritchardMP
236,Sarah Champion,SarahChampionMP
237,Matt Vickers,Unknown field
238,Ruth Edwards,Unknown field
239,Greg Hands,GregHands
240,Paul Howell,Unknown field
241,Wendy Morton,morton_wendy
242,Kerry McCarthy,KerryMP
243,Rosie Winterton,Unknown field
244,Thangam Debbonaire,thangammp
245,Angus MacNeil,angusmacneilsnp
246,Andrew Jones,AJonesMP
247,Bob Blackman,BobBlackmanMP
248,David Rutley,DavidRutley
249,Florence Eshalomi,Unknown field
250,Guy Opperman,GuyOpperman
251,Rebecca Harris,RebeccaHarrisMP
252,Gavin Robinson,grobinsondup
253,Bell Ribeiro-Addy,Unknown field
254,Tan Dhesi,TanDhesi
255,Tulip Siddiq,tulipsiddiq
256,Brandon Lewis,BrandonLewis
257,Edward Timpson,edwardtimpson
258,Jacob Rees-Mogg,Jacob_Rees_Mogg
259,James Cartlidge,jc4southsuffolk
260,James Davies,JamesDavies
